code,name,official English name,Hangul,Hanja
11,Seoul special city,Seoul,서울특별시,서울特別市
26,Busan metropolitan city,Busan,부산광역시,釜山廣域市
27,Daegu metropolitan city,Daegu,대구광역시,大邱廣域市
28,Incheon metropolitan city,Incheon,인천광역시,仁川廣域市
29,Gwangju metropolitan city,Gwangju,광주광역시,光州廣域市
30,Daejeon metropolitan city,Daejeon,대전광역시,大田廣域市
31,Ulsan metropolitan city,Ulsan,울산광역시,蔚山廣域市
50,Sejong special self-governing city,Sejong Special Self-Governing City,세종특별자치시,世宗特別自治市
41,Gyeonggi Province,Gyeonggi-do,경기도,京畿道
42,Gangwon Province,Gangwon-do,강원도,江原道
43,North Chungcheong Province,Chungcheongbuk-do,충청북도,忠淸北道
44,South Chungcheong Province,Chungcheongnam-do,충청남도,忠淸南道
45,North Jeolla Province,Jeollabuk-do,전라북도,全羅北道
46,South Jeolla Province,Jeollanam-do,전라남도,全羅南道
47,North Gyeongsang Province,Gyeongsangbuk-do,경상북도,慶尙北道
48,South Gyeongsang Province,Gyeongsangnam-do,경상남도,慶尙南道
49,Jeju special self-governing province,Jeju Special Self-Governing Province,제주특별자치도,濟州特別自治道